,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
Observer: 2 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1.114e-001,8.555e+000,1.837e+001,2.772e+001,3.922e+001,5.208e+001,6.380e+001,7.399e+001,8.383e+001,9.846e+001,1.142e+002,1.179e-001,8.170e+000,8.286e+000,1.191e+001,1.665e+001,2.235e+001,2.698e+001,3.096e+001,3.476e+001,4.029e+001,4.746e+001,1.097e-001,2.861e+000,6.518e+000,9.685e+000,1.375e+001,1.834e+001,2.249e+001,2.626e+001,3.035e+001,3.698e+001,4.429e+001,1.103e-001,1.598e+000,3.180e+000,4.720e+000,7.102e+000,9.298e+000,1.126e+001,1.313e+001,1.556e+001,1.831e+001,2.060e+001,7.049e+001,7.364e+001,7.220e+001,6.872e+001,6.446e+001,5.585e+001,4.695e+001,3.920e+001,3.335e+001,2.994e+001,3.114e+001,3.436e+001,4.008e+001,4.847e+001,5.544e+001,6.298e+001,5.223e+001,4.730e+001,6.236e+001,8.072e+001,7.741e+001,5.797e+001,4.558e+001,5.385e+001,6.372e+001,4.705e+001,2.936e+001,2.798e+001,4.848e+001,6.889e+001,4.734e+001,4.422e+001,2.075e+001,1.145e+002,1.259e-001,5.243e+001
Y,1.146e-001,8.713e+000,1.932e+001,2.917e+001,4.090e+001,5.506e+001,6.777e+001,7.841e+001,8.898e+001,1.049e+002,1.225e+002,1.199e-001,4.257e+000,4.314e+000,6.178e+000,8.678e+000,1.154e+001,1.406e+001,1.608e+001,1.808e+001,2.093e+001,2.443e+001,1.102e-001,5.813e+000,1.341e+001,1.961e+001,2.768e+001,3.774e+001,4.667e+001,5.382e+001,6.168e+001,7.511e+001,8.825e+001,1.122e-001,6.342e-001,1.234e+000,1.704e+000,2.819e+000,3.466e+000,4.158e+000,5.166e+000,6.028e+000,7.016e+000,7.920e+000,5.534e+001,5.505e+001,5.393e+001,5.318e+001,5.366e+001,5.332e+001,5.331e+001,5.303e+001,5.222e+001,5.256e+001,5.433e+001,5.499e+001,5.571e+001,5.615e+001,5.546e+001,5.482e+001,5.502e+001,2.432e+001,5.517e+001,9.196e+001,1.057e+002,9.564e+001,8.875e+001,9.164e+001,9.561e+001,6.055e+001,2.482e+001,1.179e+001,2.239e+001,3.276e+001,2.434e+001,8.819e+001,8.003e+000,1.221e+002,1.181e-001,5.527e+001
Z,2.251e-001,9.525e+000,1.966e+001,2.936e+001,4.228e+001,5.696e+001,6.963e+001,8.151e+001,9.421e+001,1.104e+002,1.244e+002,2.139e-001,7.926e-001,7.985e-001,1.030e+000,1.163e+000,1.654e+000,1.661e+000,1.300e+000,2.300e+000,1.892e+000,2.023e+000,2.343e-001,1.154e+000,1.862e+000,3.203e+000,4.508e+000,6.184e+000,7.456e+000,8.406e+000,9.155e+000,1.013e+001,1.196e+001,2.221e-001,7.919e+000,1.610e+001,2.405e+001,3.481e+001,4.750e+001,5.758e+001,6.628e+001,7.861e+001,9.299e+001,1.068e+002,5.539e+001,7.560e+001,9.414e+001,1.127e+002,1.165e+002,1.128e+002,9.554e+001,7.654e+001,5.639e+001,3.411e+001,2.089e+001,1.095e+001,8.275e+000,1.165e+001,2.072e+001,3.366e+001,5.706e+001,2.229e+000,6.947e+000,1.175e+001,1.350e+001,1.277e+001,1.849e+001,6.160e+001,1.124e+002,1.182e+002,1.126e+002,1.078e+002,1.088e+002,1.094e+002,2.161e+000,1.186e+001,1.069e+002,1.250e+002,2.221e-001,5.722e+001
CCT,27435,6170,6064,6008,6070,6219,6227,6274,6403,6403,6255,16080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62867,6231,6054,6089,6068,6145,6156,6103,6048,6000,5941,28081,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3004,3479,6029,16778,28179,42190,20821,13919,10291,7699,6375,5345,4598,3868,3415,3014,6197,N/A,2435,3617,4466,5266,6117,7668,10983,60705,N/A,N/A,N/A,2180,N/A,5940,N/A,6248,16478,6193
MK -¹,36.4,162.1,164.9,166.5,164.8,160.8,160.6,159.4,156.2,156.2,159.9,62.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.9,160.5,165.2,164.2,164.8,162.7,162.4,163.9,165.3,166.7,168.3,35.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,332.9,287.4,165.9,59.6,35.5,23.7,48.0,71.8,97.2,129.9,156.9,187.1,217.5,258.5,292.8,331.8,161.4,N/A,410.7,276.5,223.9,189.9,163.5,130.4,91.1,16.5,N/A,N/A,N/A,458.7,N/A,168.3,N/A,160.1,60.7,161.5
u-v Dev,0.0050,-0.0021,0.0035,0.0037,0.0020,0.0042,0.0050,0.0046,0.0048,0.0055,0.0066,0.0009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0032,0.1000,0.1028,0.1005,0.1000,0.1022,0.1031,0.1019,0.1013,0.1016,0.0996,0.0033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0388,-0.0541,-0.0575,-0.0459,-0.0302,-0.0057,0.0189,0.0418,0.0602,0.0765,0.0797,0.0737,0.0580,0.0333,0.0095,-0.0149,0.0037,N/A,0.0088,0.0342,0.0565,0.0790,0.0954,0.0727,0.0548,0.0387,N/A,N/A,N/A,-0.1376,N/A,0.0997,N/A,0.0057,-0.0122,0.0038
x,0.2470,0.3193,0.3203,0.3214,0.3204,0.3174,0.3171,0.3163,0.3140,0.3138,0.3163,0.2609,0.6180,0.6184,0.6229,0.6285,0.6289,0.6318,0.6405,0.6304,0.6384,0.6421,0.2415,0.2911,0.2991,0.2980,0.2993,0.2945,0.2936,0.2968,0.3000,0.3026,0.3065,0.2481,0.1575,0.1550,0.1549,0.1588,0.1543,0.1542,0.1552,0.1553,0.1547,0.1522,0.3890,0.3605,0.3278,0.2929,0.2747,0.2516,0.2398,0.2323,0.2349,0.2568,0.2928,0.3426,0.3851,0.4169,0.4212,0.4158,0.3179,0.6405,0.5010,0.4377,0.3936,0.3484,0.2983,0.2600,0.2345,0.2084,0.1761,0.1896,0.2699,0.3264,0.6411,0.3065,0.1530,0.3166,0.2701,0.3179
y,0.2541,0.3252,0.3369,0.3382,0.3341,0.3355,0.3368,0.3352,0.3332,0.3345,0.3392,0.2654,0.3220,0.3220,0.3232,0.3276,0.3246,0.3293,0.3326,0.3279,0.3316,0.3305,0.2427,0.5914,0.6154,0.6034,0.6026,0.6061,0.6091,0.6082,0.6096,0.6145,0.6108,0.2524,0.0625,0.0601,0.0559,0.0630,0.0575,0.0570,0.0611,0.0602,0.0593,0.0585,0.3054,0.2695,0.2448,0.2267,0.2287,0.2402,0.2723,0.3142,0.3678,0.4508,0.5109,0.5482,0.5353,0.4829,0.4214,0.3620,0.3348,0.3293,0.4432,0.4986,0.5377,0.5748,0.5807,0.4425,0.3519,0.2682,0.1489,0.0799,0.1246,0.1552,0.3296,0.6113,0.0590,0.3376,0.2533,0.3352
u,0.1779,0.2039,0.2002,0.2004,0.2012,0.1986,0.1979,0.1980,0.1971,0.1965,0.1965,0.1843,0.4392,0.4396,0.4424,0.4430,0.4462,0.4442,0.4486,0.4444,0.4478,0.4520,0.1779,0.1224,0.1223,0.1236,0.1243,0.1216,0.1208,0.1223,0.1235,0.1239,0.1262,0.1794,0.1834,0.1817,0.1843,0.1847,0.1825,0.1828,0.1814,0.1821,0.1819,0.1792,0.2643,0.2616,0.2482,0.2282,0.2115,0.1871,0.1657,0.1473,0.1353,0.1301,0.1370,0.1541,0.1780,0.2095,0.2335,0.2554,0.1992,0.4517,0.2739,0.2159,0.1817,0.1515,0.1273,0.1335,0.1389,0.1437,0.1588,0.2119,0.2729,0.3102,0.4521,0.1261,0.1798,0.1973,0.1965,0.1991
